TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
40.588480726,-191.348,21.5766,-7.65724,4.49851,2.01084,6.14175,-3.17614,2.96066,-0.680845,-0.937419,-3.88308,-0.971859,0.270849,0.720472,-1.81994,-1.09393,-2.17344,-1.82261,-1.45039,-2.69446,-0.0631926
40.611700680,-188.915,21.6072,-8.21233,3.47349,3.11844,4.65354,-3.96999,4.19205,0.388153,1.34358,-2.05875,-2.89681,-2.33399,2.41334,2.42181,3.5399,1.31826,0.0944561,-0.461396,0.512691,1.63137
40.634920635,-196.099,22.0034,-6.98531,5.8866,3.32912,6.45818,-5.15099,1.97959,-1.88717,1.36937,-0.624306,0.804052,-1.13985,3.07423,1.21359,3.06194,0.928058,0.578186,1.58982,-0.231615,-1.74054
40.658140590,-191.358,20.8977,-8.79713,8.56135,-0.734964,7.10687,-2.31628,0.736234,0.651694,3.642,0.145848,0.641153,0.0579246,0.703722,0.252027,2.08876,-0.324509,-1.54481,0.896769,0.0953383,-1.74412
40.681360544,-180.281,12.0732,-8.02418,13.3376,-4.35601,9.56499,-1.26147,-0.426624,-0.0527494,3.52281,-0.573639,0.840931,2.70365,1.49711,0.473274,3.29916,-1.79579,-3.22883,-0.624553,-1.71472,-2.6209
40.704580499,-187.399,13.6653,-8.41683,7.9769,-0.469952,9.41123,-1.17418,3.97749,2.60265,5.83154,1.00409,1.72173,1.30441,-0.277514,-1.86843,-0.0590658,-3.16797,-3.80562,-2.53519,1.76999,0.0502644
40.727800454,-186.633,18.05,-7.33275,5.39457,-1.08078,3.53131,-5.57387,4.36641,0.0639925,3.91992,1.75741,1.29113,0.344379,3.6727,-0.604611,-0.642671,-2.28821,-0.647322,0.241914,1.15723,-0.447962
40.751020408,-195.026,20.3999,-10.2425,3.90558,0.0378487,4.52544,-5.60403,3.79984,2.73762,4.11358,3.4548,4.34934,0.868091,1.80409,-0.175645,1.82496,-1.1307,0.824232,1.49297,0.493554,0.0730351
40.774240363,-198.032,27.7157,-8.46791,9.4318,2.40277,8.5601,-3.12997,3.57027,1.42846,3.07223,0.160829,0.864098,-0.996696,0.653534,0.973631,2.34822,1.21765,0.951929,0.446928,-2.14621,0.333605
40.797460317,-192.178,28.8569,-11.1449,6.51943,-0.383986,4.84824,-7.04026,2.55017,1.70951,1.06,-1.05225,-0.383229,-0.674082,1.12484,1.70718,4.24699,2.08518,0.582707,1.1428,0.920647,1.31197
